Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1704322726.4535763,218919,1704322726,399690587,ublox_gps,0,15,41.6469258,-27.316445234817916,235.5,0.12110399999999999,0.0,0.0,0.0,0.12110399999999999,0.0,0.0,0.0,0.248004,2
1704322726.6549501,218920,1704322726,599690572,ublox_gps,0,15,41.6469258,-27.316445234817916,235.496,0.12040899999999999,0.0,0.0,0.0,0.12040899999999999,0.0,0.0,0.0,0.247009,2
1704322726.8522053,218921,1704322726,799690556,ublox_gps,0,15,41.6469258,-27.316445234817916,235.49,0.11971599999999999,0.0,0.0,0.0,0.11971599999999999,0.0,0.0,0.0,0.24601599999999998,2
1704322727.0590947,218922,1704322726,999690541,ublox_gps,0,15,41.6469257,-27.31644513481792,235.499,0.11833599999999998,0.0,0.0,0.0,0.11833599999999998,0.0,0.0,0.0,0.245025,2
1704322727.2549489,218923,1704322727,199690524,ublox_gps,0,15,41.6469257,-27.31644513481792,235.501,0.11764900000000002,0.0,0.0,0.0,0.11764900000000002,0.0,0.0,0.0,0.244036,2
1704322727.454067,218924,1704322727,399690508,ublox_gps,0,15,41.6469257,-27.316445034817917,235.513,0.11628100000000002,0.0,0.0,0.0,0.11628100000000002,0.0,0.0,0.0,0.243049,2
1704322727.650862,218925,1704322727,599690493,ublox_gps,0,15,41.646925599999996,-27.316445034817917,235.511,0.11560000000000002,0.0,0.0,0.0,0.11560000000000002,0.0,0.0,0.0,0.242064,2
1704322727.8542244,218926,1704322727,799690477,ublox_gps,0,15,41.646925599999996,-27.316445034817917,235.50400000000002,0.11492100000000001,0.0,0.0,0.0,0.11492100000000001,0.0,0.0,0.0,0.241081,2
1704322728.0587852,218927,1704322727,999690462,ublox_gps,0,15,41.646925599999996,-27.316444934817916,235.505,0.11424400000000001,0.0,0.0,0.0,0.11424400000000001,0.0,0.0,0.0,0.239121,2
1704322728.2536542,218928,1704322728,199690445,ublox_gps,0,15,41.646925599999996,-27.316444934817916,235.5,0.11289600000000001,0.0,0.0,0.0,0.11289600000000001,0.0,0.0,0.0,0.238144,2
1704322728.4551363,218929,1704322728,399690430,ublox_gps,0,15,41.646925599999996,-27.316444934817916,235.494,0.11222500000000002,0.0,0.0,0.0,0.11222500000000002,0.0,0.0,0.0,0.237169,2
1704322728.6541762,218930,1704322728,599690414,ublox_gps,0,15,41.646925499999995,-27.316444834817915,235.494,0.11155600000000002,0.0,0.0,0.0,0.11155600000000002,0.0,0.0,0.0,0.236196,2
1704322728.8525522,218931,1704322728,799690398,ublox_gps,0,15,41.6469253,-27.316444334817916,235.493,0.11088900000000002,0.0,0.0,0.0,0.11088900000000002,0.0,0.0,0.0,0.235225,2
1704322729.072114,218932,1704322728,999690384,ublox_gps,0,15,41.646924999999996,-27.316443534817914,235.475,0.109561,0.0,0.0,0.0,0.109561,0.0,0.0,0.0,0.234256,2
1704322729.2591968,218933,1704322729,199690367,ublox_gps,0,15,41.6469246,-27.316442834817916,235.485,0.10890000000000001,0.0,0.0,0.0,0.10890000000000001,0.0,0.0,0.0,0.233289,2
1704322729.4549472,218934,1704322729,399690351,ublox_gps,0,15,41.6469242,-27.316442334817914,235.491,0.108241,0.0,0.0,0.0,0.108241,0.0,0.0,0.0,0.23232399999999997,2
1704322729.6628826,218935,1704322729,599690335,ublox_gps,0,15,41.646923799999996,-27.316441734817914,235.495,0.10758400000000001,0.0,0.0,0.0,0.10758400000000001,0.0,0.0,0.0,0.23232399999999997,2
1704322729.8635683,218936,1704322729,799690320,ublox_gps,0,15,41.6469233,-27.316441334817917,235.479,0.10692900000000001,0.0,0.0,0.0,0.10692900000000001,0.0,0.0,0.0,0.23136099999999998,2
1704322730.0718217,218937,1704322729,999690305,ublox_gps,0,15,41.6469229,-27.316441034817917,235.465,0.10692900000000001,0.0,0.0,0.0,0.10692900000000001,0.0,0.0,0.0,0.2304,2
1704322730.2619271,218938,1704322730,199690288,ublox_gps,0,15,41.6469224,-27.316440634817916,235.465,0.10627600000000001,0.0,0.0,0.0,0.10627600000000001,0.0,0.0,0.0,0.2304,2
1704322730.457865,218939,1704322730,399690272,ublox_gps,0,15,41.6469217,-27.316440234817918,235.46800000000002,0.10627600000000001,0.0,0.0,0.0,0.10627600000000001,0.0,0.0,0.0,0.2304,2
1704322730.6602716,218940,1704322730,599690257,ublox_gps,0,15,41.646920699999995,-27.316439834817917,235.42600000000002,0.10562500000000001,0.0,0.0,0.0,0.10562500000000001,0.0,0.0,0.0,0.2304,2
1704322730.861391,218941,1704322730,799690241,ublox_gps,0,15,41.6469192,-27.316439434817916,235.423,0.10562500000000001,0.0,0.0,0.0,0.10562500000000001,0.0,0.0,0.0,0.22944099999999998,2
1704322731.0589716,218942,1704322730,999690226,ublox_gps,0,15,41.6469173,-27.316439234817917,235.40800000000002,0.104976,0.0,0.0,0.0,0.104976,0.0,0.0,0.0,0.22944099999999998,2
1704322731.2517645,218943,1704322731,199690210,ublox_gps,0,15,41.646915199999995,-27.316439334817915,235.386,0.104329,0.0,0.0,0.0,0.104329,0.0,0.0,0.0,0.228484,2
